english,french,russian
I want to be here,Je veux être ici,Я хочу быть здесь
Who are you?,Qui es-tu?,Кто ты?
Who is this?,Qui est-ce?,Это кто?
Who can be there?,Qui peut être là?,Кто может быть там?
Who will be there?,Qui sera là?,Кто будет там?
Who was there?,Qui était là?,Кто был здесь?
What it this?,Qu'est-ce que c'est?,Что это?
Where is this?,Où est-ce?,Где это?
Where will you be today?,Où serez-vous aujourd'hui?,Где ты будешь сегодня?
Where are you?,Où es-tu?,Где ты?
Where is it?,Où est-ce?,Где это находится?
Where is my bag?,Ou est mon sac?,Где моя сумка?
