level,english,french,russian,ukrainian
1,You dont know about it,Vous ne savez pas à ce sujet,Вы не знаете об этом,Ви не знаєте про це
1,What do you think about it now?,Qu'en pensez-vous maintenant?,Что вы думаете об этом сейчас?,Що ви зараз думаєте?
1,This is my bag,C'est mon sac,Это моя сумка,Це мій мішок
1,This is my car,C'est ma voiture,Это моя машина,Це мій автомобіль
1,She is my girfriend,Elle est mon girfriend,Она моя подруга,Вона мій girfriend
1,This is ok,C'est acceptable,Хорошо,Це нормально
1,This is our city,C'est notre ville,Это наш город,Це наше місто
1,This is our country,C'est notre pays,Это наша страна,Це наша країна
1,I think it is better ,Je pense que c'est mieux,"Я думаю, что это лучше","Я думаю, що це краще"
1,I want new computer ,Je veux un nouvel ordinateur,Я хочу новый компьютер,Я хочу нового комп'ютера
1,My computer doesnt work,Mon ordinateur ne fonctionne pas,Мой компьютер не работает,Мій комп'ютер не працює
1,I can speak freely ,Je peux parler librement,Я могу говорить свободно,Я можу вільно говорити
1,I can speak with you,Je peux parler avec toi,Я могу поговорить с тобой,Я можу говорити з вами
1,I can do this ,je peux le faire,я могу сделать это,я можу це зробити
2,I can say him about it ,Je peux le dire à ce sujet,Я могу сказать ему об этом,Я можу сказати йому про це
1,I can go there ,je peux y aller,Я могу пойти туда,Я можу поїхати туди
1,I want go there ,Je veux y aller,Я хочу пойти туда,Я хочу піти туди
1,I want to be there ,je veux être là,я хочу быть там,я хочу бути там
1,I want this ,Je veux ceci,я хочу этот,я хочу це
1,I want that,Je veux cela,Я хочу чтобы,"я хочу, щоб"
2,I want to tell you about it,Je veux vous en dire à ce sujet,Я хочу рассказать вам об этом,Я хочу розповісти вам про це
1,I want to be here,Je veux être ici,Я хочу быть здесь,Я хочу бути тут
1,Who are you?,Qui es-tu?,Кто ты?,Хто ти?
1,Who is this?,Qui est-ce?,Это кто?,Хто це?
1,Who can be there?,Qui peut être là?,Кто может быть там?,Хто може бути там?
1,Who will be there?,Qui sera là?,Кто будет там?,Хто буде там?
1,Who was there?,Qui était là?,Кто был здесь?,Хто був там?
1,What it this?,Qu'est-ce que c'est?,Что это?,Що це?
1,Where is this?,Où est-ce?,Где это?,Де це?
1,Where will you be today?,Où serez-vous aujourd'hui?,Где ты будешь сегодня?,Де ви будете сьогодні?
1,Where are you?,Où es-tu?,Где ты?,Ти де?
1,Where is it?,Où est-ce?,Где это находится?,Де це?
1,Where is my bag?,Ou est mon sac?,Где моя сумка?,Де мій мішок?
1,I want to visit a new country,Je veux visiter un nouveau pays,Я хочу посетить новую страну,Я хочу відвідати нову країну
1,My friend says it is normal,Mon ami dit que c'est normal,"Мой друг говорит, что это нормально","Мій друг каже, що це нормально"
1,I think you are right,je pense que tu as raison,я думаю ты прав,"Я думаю, ви маєте рацію"
2,"Between us, I think it is a wrong way","Entre nous, je pense que c'est une mauvaise façon","Между нами я думаю, что это неправильно","Між нами, я думаю, що це неправильний шлях"
1,How to solve it?,Comment le résoudre?,Как решить это?,Як це вирішити?
1,I am going to visit my university ,Je vais visiter mon université,Я собираюсь посетить мой университет,Я збираюся відвідати свій університет
1,I want to speak with you ,je veux parler avec toi,я хочу поговорить с тобой,Я хочу поговорити з вами
2,I want to tell you that I want to speak correctly in english,Je veux vous dire que je veux parler correctement en anglais,"Я хочу сказать вам, что я хочу правильно говорить на английском языке","Я хочу сказати вам, що я хочу правильно говорити англійською мовою"
1,I am from russia,Je viens de Russie,Я из России,Я з Росії
1,I am from USA,Je viens des Etats-Unis,я из США,Я з США
1,I am from Desnogorsk ,Je viens de Desnogorsk,Я из Десногорска,Я з Десногорська
1,I was born in Russia,Je suis né en Russie,Я родился в России,Я народився в Росії
2,I dont speak russian but I can speak french and english  freely,Je ne parle pas russe mais je peux parler français et anglais librement,"Я не говорю по-русски, но я могу свободно говорить по-французски","Я не розмовляю російською, але я можу поговорити французькою та англійською мовою"
1,This is not what I wanted to say,Ce n'est pas ce que je voulais dire,"Это не то, что я хотел сказать","Це не те, що я хотів сказати"
1,It was perfect,C'était parfait,Это было идеально,Це було ідеально
2,I want to tell you that there is nothing to do,Je veux vous dire qu'il n'y a rien à faire,"Я хочу сказать вам, что нечего делать","Я хочу сказати вам, що немає нічого"
1,I want to be here forever ,Je veux être ici pour toujours,Я хочу быть здесь навсегда,Я хочу бути тут назавжди
1,I like to play chess,J'aime jouer aux échecs,Мне нравится играть в шахматы,Мені подобається грати в шахи
1,I like to play tennis,J'aime jouer au tennis,мне нравится играть в теннис,Мені подобається грати в теніс
1,I like programming in general ,J'aime la programmation en général,Мне нравится программирование в целом,Мені подобається програмування взагалі
1,I dont like waste a time ,Je n'aime pas les déchets un temps,Я не люблю тратить время,Я не люблю витрачати час
1,I love you,Je vous aime,Я люблю вас,я тебе люблю
1,I dont like it ,Je n'aime pas ça,Мне это не нравится,Я не люблю це
1,Thank you very much!,Merci beaucoup!,Большое спасибо!,Велике спасибі!
1,Will you tell him? ,Voulez-vous lui dire?,Ты скажешь ему?,Ви скажете йому?
1,Do you like it? ,Aimez-vous?,Вам нравится это?,Вам це подобається?
1,How are you? ,Comment ca va?,Как дела?,Як справи?
1,What do you think about it?,Qu'est-ce que tu en penses?,Что вы думаете об этом?,Що ви думаєте про це?
1,Could you help me?,Pourriez-vous m'aider?,Не могли бы вы помочь мне?,Не могли б ви мені допомогти?
2,Where is closest market?,Où se trouve le marché le plus proche?,Где ближайший рынок?,Де знаходиться найближчий ринок?
1,How can I find taxi? ,Comment puis-je trouver des taxis?,Как я могу найти такси?,Як я можу знайти таксі?
1,Do you have an internet on your phone? ,Avez-vous un internet sur votre téléphone?,У вас есть интернет на вашем телефоне?,У вас є Інтернет на телефоні?
1,Where is police? ,Où est la police?,Где полиция?,Де поліція?
1,Get out of here,Sors d'ici,Убирайся отсюда,Забирайся звідси
1,What do you want to say? ,Qu'est-ce que tu veux dire?,Что вы хотите сказать?,Що ви хочете сказати?
1,When will you go there with you friend?,Quand allez-vous y aller avec vous ami?,Когда ты пойдешь туда с вами другом?,Коли ви поїдете туди з вами другом?
1,Who is she? ,Qui est-elle?,Кто она?,Хто вона?
1,Why do you like it?,Pourquoi l'aimes tu?,Почему тебе это нравится?,Чому вам це подобається?
1,Why can not I do this?,Pourquoi ne peut-je pas faire ça?,Почему я не могу этого сделать?,Чому я не можу це зробити?
1,This is a good car ,C'est une bonne voiture,Это хорошая машина,Це хороший автомобіль
1,I like this car,J'aime cette voiture,Мне нравится этот автомобиль,Мені подобається цей автомобіль
1,Because I think so,Parce que je le pense,Потому что я так думаю,Тому що я так думаю
2,Do you work because you need more money?,Travaillez-vous parce que vous avez besoin de plus d'argent?,"Вы работаете, потому что вам нужно больше денег?","Ви працюєте, тому що вам потрібно більше грошей?"
1,How much money do you have?,Combien d'argent as tu?,Сколько у тебя денег?,Скільки грошей у вас є?
1,"Could you speak slowly, please?",Pourriez-vous parler lentement s'il vous plaît?,"Не могли бы вы говорить медленно, пожалуйста?","Не могли б ви говорити повільно, будь ласка?"
1,Could you repeat please? ,Pouvez vous répéter s'il vous plait?,"Не могли бы вы повторить, пожалуйста?","Не могли б ви повторити, будь ласка?"
1,I dont understand when you speak so fast,Je ne comprends pas quand tu parles si vite,"Я не понимаю, когда ты говоришь так быстро","Я не розумію, коли ви говорите так швидко"
1,Can you rephrase it?,Pouvez-vous la rehrasser?,Можете ли вы перефразировать это?,Чи можете ви перефразувати його?
1,I work with my friend there,Je travaille avec mon ami là-bas,Я работаю с моим другом там,Я працюю з моїм другом
1,This is very big building ,C'est très grand bâtiment,Это очень большое здание,Це дуже велике будівництво
1,I want a beer ,je veux une bière,Я хочу пива,Я хочу пиво
1,Where can I buy a beer? ,Où puis-je acheter une bière?,Где я могу купить пиво?,Де я можу купити пиво?
1,Do you like to drink?,Aimes tu boire?,Вы хотели бы пить?,Ви любите пити?
1,This is little mouse ,C'est une petite souris,Это маленькая мышь,Це маленька миша
1,Very little mouse,Très peu de souris,Очень маленькая мышь,Дуже маленька миша
1,This is very beautiful ,C'est très beau,Это очень красиво,Це дуже красиво
1,This is what I want ,C'est ce que je veux,"Это то, что я хочу","Це те, що я хочу"
2,How can I call police? ,Comment puis-je appeler la police?,Как я могу назвать полицию?,Як я можу назвати поліцію?
1,What do you want? ,Qu'est-ce que vous voulez?,Чего ты хочешь?,Що ти хочеш?
1,I study at school,j'étudie à l'école,Я учусь в школе,Я навчаюся в школі
1,I study by myself,J'étudie par moi-même,Я изучаю сам,Я вивчаю сам
1,I study at home ,j'étudie à la maison,Я учусь дома,Я навчаюся вдома
1,I study very well,J'étudie très bien,Я очень хорошо изучаю,Я дуже добре вивчаю
1,I study very bad ,J'étudie très mal,Я изучаю очень плохо,Я вивчаю дуже погано
1,Very bad decision,Très mauvaise décision,Очень плохое решение,Дуже погане рішення
1,I think that he want to say you that it is the bad choice ,Je pense qu'il veut dire que c'est le mauvais choix,"Я думаю, что он хочет сказать вам, что это плохой выбор","Я думаю, що він хоче сказати, що це поганий вибір"
1,I keep working in my company,Je continue de travailler dans ma compagnie,Я продолжаю работать в моей компании,Я продовжую працювати в своїй компанії
1,I like it,je l'aime bien,мне это нравится,мені це подобається
1,I will like it,J'aimerai ça,Мне понравится,Мені це подобається
1,I liked it,Je l'ai aimé,мне нравится,мені це сподобалося
1,I go there,je vais là-bas,я иду туда,я йду туди
1,I will go there,je vais y aller,я пойду туда,Я поїду туди
1,I went there,je suis allé ici,я пошел туда,Я поїхав туди
1,I dont understand it,Je ne comprends pas ça,Я не понимаю это,Я не розумію це
1,I will understand it,Je comprendrai ça,Я пойму это,Я зрозумію це
1,I did not understand it ,Je n'ai pas compris cela,Я не понял этого,Я цього не зрозумів
1,Where do you travel?,Où voyage tu?,Где вы путешествуете?,Де ви подорожуєте?
1,Where are you living?,Où habites-tu?,Где вы живете?,Де ти живеш?
1,Why do you want visit this country?,Pourquoi voulez-vous visiter ce pays?,Почему вы хотите посетить эту страну?,Чому ви хочете відвідати цю країну?
1,"I dont want to buy this food, this is too expensive","Je ne veux pas acheter cette nourriture, c'est trop cher","Я не хочу покупать эту еду, это слишком дорого","Я не хочу купити цю їжу, це занадто дорого"
1,"I dont want to go there, I dont know these peoples","Je ne veux pas y aller, je ne connais pas ces peuples","Я не хочу идти туда, я не знаю этих народов","Я не хочу їхати туди, я не знаю цих народів"
1,I dont want to buy this bag,Je ne veux pas acheter ce sac,Я не хочу покупать эту сумку,Я не хочу купити цю сумку
1,I would like to go there,J'aimerais aller là bas,я бы хотел туда пойти,Я хотів би поїхати туди
1,I would like to be there,J'aimerais être là,Я хотел бы быть там,Я хотів би бути там
1,Repeat what you say please,Répétez ce que vous dites s'il vous plaît,"Повторите то, что вы говорите, пожалуйста","Повторіть те, що ви говорите, будь ласка"
1,Could you tell me this?,Pourriez-vous me dire ça?,Не могли бы вы сказать мне это?,Чи можете ви сказати мені це?
1,I will be there,je serai là,буду там,я будутам
1,I will be here,je serai là,я буду здесь,Я буду тут
1,I will be rich,Je serai riche,Я буду богат,Я буду багатий
1,I will be poor ,Je serai pauvre,Я буду бедным,Я буду бідний
1,I will be nice,Je serai gentil,Я буду мил,Я буду приємний
1,I will be good,Je serai bon,я буду в порядке,Я буду добре
1,I will be student,Je serai étudiant,Я буду студентом,Я буду студентом
1,I will be father,Je serai père,Я буду отцом,Я буду батьком
1,I will be mother,Je serai mère,Я буду матерью,Я буду мати
1,I will be sportsman,Je serai sportif,Я буду спортсмен,Я буду спортсмен
1,I will play tennis,Je vais jouer au tennis,Я буду играть в теннис,Я буду грати в теніс
1,I will work there,Je vais travailler là-bas,Я буду работать там,Я буду працювати там
1,I will go there,je vais y aller,я пойду туда,Я поїду туди
1,I will go home,je vais rentrer à la maison,я пойду домой,Я піду додому
1,I will love it,je vais aimer ca,Я буду любить это,Я буду любити його
1,I will work in home,Je vais travailler à la maison,Я буду работать в доме,Я буду працювати вдома
1,I will live there,Je vais y vivre,Я буду жить там,Я буду жити там
1,I will live in that hotel ,Je vais vivre dans cet hôtel,Я буду жить в этом отеле,Я буду жити в цьому готелі
1,I will live in this city,Je vais vivre dans cette ville,Я буду жить в этом городе,Я буду жити в цьому місті
1,I will live in that city,Je vais vivre dans cette ville,Я буду жить в этом городе,Я буду жити в цьому місті
1,I will work faster ,Je vais travailler plus vite,Я буду работать быстрее,Я буду працювати швидше
1,I will work better,Je vais mieux travailler,Я буду работать лучше,Я буду працювати краще
1,I will work slower ,Je vais travailler plus lentement,Я буду работать медленнее,Я буду працювати повільніше
1,I will for for money ,Je vais pour l'argent,Я буду за деньги,Я за гроші
1,I want work for money,Je veux du travail pour de l'argent,Я хочу работать на деньги,Я хочу працювати за гроші
1,Money will work for me ,L'argent fonctionnera pour moi,Деньги будут работать для меня,Гроші будуть працювати для мене
1,I have a car ,j'ai une voiture,у меня есть машина,у мене є машина
1,I have a home ,J'ai une maison,У меня есть дом,У мене є будинок
1,I have friends ,j'ai des amis,у меня есть друзья,У мене є друзі
1,I have work,j'ai du travail,у меня есть работа,я маю роботу
1,I have computer ,J'ai l'ordinateur,У меня есть компьютер,У мене є комп'ютер
1,I have money ,j'ai de l'argent,у меня есть деньги,я маю гроші
1,I have mother and father ,J'ai la mère et le père,У меня есть мама и отец,У мене є мати і батько
1,I have question ,j'ai une question,У меня есть вопрос,У мене є питання
1,I have answer ,J'ai une réponse,У меня есть ответ,Я маю відповідь
1,I have book ,j'ai un livre,У меня есть книга,У мене є книга
1,I read books ,Je lis des livres,я читаю книги,Я читав книги
1,I cant read books ,Je ne peux pas lire des livres,Я не могу читать книги,Я не можу читати книги
1,I dont read books,Je n'ai pas lu des livres,Я не читаю книги,Я не читаю книги
1,I will read books ,Je vais lire des livres,Я буду читать книги,Я буду читати книги
1,I didnt read books,Je n'ai pas lu des livres,Я не читал книги,Я didnt читати книги
1,I like read books,J'aime lire des livres,Мне нравится читать книги,Мені подобається читати книги
1,I dont like read books because I work,Je n'aime pas lire des livres parce que je travaille,"Я не люблю читать книги, потому что я работаю","Я не люблю читати книги, тому що я працюю"
1,I dont like to speak about it because It is not true,Je n'aime pas en parler parce que ce n'est pas vrai,"Я не люблю говорить об этом, потому что это неправда","Я не люблю говорити про це, тому що це не так"
1,I dont like to speak like that ,Je n'aime pas parler comme ça,Я не люблю говорить так,Я не люблю говорити так
1,I dont understand this boy,Je ne comprends pas ce garçon,Я не понимаю этого мальчика,Я не розумію цього хлопчика
1,I dont understand this girl,Je ne comprends pas cette fille,Я не понимаю эту девушку,Я не розумію цю дівчину
1,I like this boy  ,J'aime ce garçon,Мне нравится этот мальчик,Мені подобається цей хлопчик
1,I like this girl,J'aime cette fille,мне нравится эта девушка,Мені подобається ця дівчина
1,I would like this woman,Je voudrais cette femme,Я хотел бы эту женщину,Я хотів би цю жінку
1,I would like this man ,Je voudrais cet homme,Я хотел бы этого человека,Я хотів би цю людину
1,I was there,j'étais là,я был там,я був там
1,I was here,j'étais ici,я был тут,я був тут
1,I thought that you are my friend,Je pensais que tu es mon ami,"Я думал, что ты мой друг","Я думав, що ти мій друг"
1,I thought this it is good ,Je pensais que c'est bon,"Я думал, что это хорошо","Я думав, що це добре"
1,I thought that it is better,Je pensais que c'est mieux,"Я думал, что это лучше","Я думав, що це краще"
1,I thought that is it very good,Je pensais que c'est très bon,"Я думал, что это очень хорошо","Я думав, що це дуже добре"
1,I thought this it is bad ,Je pensais que c'est mauvais,"Я думал, что это плохо","Я думав, що це погано"
1,I thought this it is very bad ,Je pensais que c'est très mauvais,"Я думал, что это очень плохо","Я думав, що це дуже погано"
1,I was in school,J'étais à l'école,я был в школе,Я був у школі
1,I was at home,j'étais à la maison,я был дома,я був вдома
1,I was angry,j'étais faché,я был зол,Я злий
1,I was tired,j'étais fatigué,Я был уставшим,я втомився
1,I do this with very big pleasure,Je le fais avec grand plaisir,Я делаю это с очень большим удовольствием,Я роблю це з дуже великим задоволенням
1,I am going to the park,Je vais au parc,я иду в парк,Я йду до парку
1,I see a house,Je vois une maison,Я вижу дом,Я бачу будинок
1,He takes this money,Il prends cet argent,Он берет эти деньги,Він приймає ці гроші
1,I see a book,Je vois un livre,Я вижу книгу,Я бачу книгу
1,I want to know French better,Je veux connaître le français mieux,Я хочу знать французский лучше,Я хочу краще знати французьку
1,I do not want the fair,Je ne veux pas le fair,Я не хочу это делать,Я не хочу справедливого
1,I see three people,Je vois trois personnes,Я вижу три человека,Я бачу три людини
1,I listen to this program,Je ecoute cet programme,Я слушаю эту программу,Я слухаю цю програму
1,I see a hotel,Je vois un hôtel,Я вижу отель,Я бачу готель
1,I do it when I have free time,Je le fais quand J`ai du temps libre,"Я делаю это, когда у меня есть свободное время","Я роблю це, коли у мене є вільний час"
1,I often visit this place,Je visite souvent cette endroit,Я часто посещаю это место,Я часто відвідую це місце
1,I take this money,Je prends cet argent,Я беру эти деньги,Я приймаю ці гроші
1,She takes this bag,Elle prend ce sac ,Она берет эту сумку,Вона приймає цю сумку
1,I have a plan,J`ai un plan,у меня есть план,У мене план
1,I see a car,Je vois une voiture,Я вижу машину,Я бачу машину
1,I do not want to make mistakes,Je ne veux pas faire des erreur,Я не хочу делать ошибки,Я не хочу робити помилки
1,it is very expensive,ça coûte trés cher,это очень дорого,Це дуже дорого
1,I really want to travel,J`aime vraiment voyager ,Я действительно хочу путешествовать,Я дійсно хочу подорожувати
1,He says it again and again,Il le dit encore et encore,Он говорит это снова и снова,Він каже це знову і знову
1,I'm free,Je suis libre,Я свободен,я вільний
1,I like this method,J`aime cette méthode,Мне нравится этот метод,Мені подобається цей метод
1,I know this language,Je connais cette langue ,Я знаю этот язык,Я знаю цю мову
1,I know,Je sais,Я знаю,я знаю
1,I really want to travel,J`aime vraiment voyager ,Я действительно хочу путешествовать,Я дійсно хочу подорожувати
1,I like a lot of traveling,J`aime beaucoup voyager ,Мне нравится много путешествий,Мені подобається багато подорожей
1,I study and works at the same time,J`etudie et travaille en même temps,Я учусь и работаю одновременно,Я вивчаю і працює в той же час
1,I know how to do it,Je sais comment le faire,"Я знаю, как это сделать","Я знаю, як це зробити"
1,I understand this man,Je comprends cet homme ,Я понимаю этого человека,Я розумію цю людину
1,I often visit these places,Je visite souvent ces endroits ,Я часто посещаю эти места,Я часто відвідую ці місця
1,This computer is cheaper,Cet ordinateur coûte moins cher,Это компьютер стоит дешевле,Цей комп'ютер дешевше
1,I am in Russia now,Je suis en Russie maintenant,Я сейчас в России,Я зараз в Росії
1,I see this woman,Je vois cette femme,Я вижу эту женщину,Я бачу цю жінку
1,These things help very much,Ces choses m`aident becaucoup ,Эти вещи очень помогают,Ці речі дуже допомагають
1,I am happy,Je suis heureux,я счастлив,я щасливий
1,I love this a lot,J`aime cette beaucoup,Я очень это люблю,Я люблю це багато
